
bharathchandra@Bharath:~/CN$ sudo python3 Sniff.py
Starting packet capture... (Press Ctrl+C to stop)
^C----- Metrics -----
Total data transferred: 324423865 bytes
Total packets: 328830
Minimum packet size: 54 bytes
Maximum packet size: 1514 bytes
Average packet size: 986.60 bytes
Histogram saved as 'packet_size_histogram.png'.

----- Unique Source-Destination Pairs (TCP flows) -----
40.126.18.33:443 -> 10.7.11.235:54735 : 12513 bytes
10.7.11.235:54736 -> 20.189.173.9:443 : 5847 bytes
20.189.173.9:443 -> 10.7.11.235:54736 : 7997 bytes
10.7.11.235:54737 -> 20.50.201.201:443 : 11491 bytes
20.50.201.201:443 -> 10.7.11.235:54737 : 8061 bytes
10.7.11.235:54738 -> 57.155.146.244:443 : 7508 bytes
57.155.146.244:443 -> 10.7.11.235:54738 : 58284 bytes
10.7.11.235:54739 -> 180.149.59.137:443 : 6242 bytes
180.149.59.137:443 -> 10.7.11.235:54739 : 118852 bytes
10.7.11.235:54740 -> 180.149.59.137:443 : 6012 bytes
180.149.59.137:443 -> 10.7.11.235:54740 : 119254 bytes
10.7.11.235:54741 -> 142.250.193.46:443 : 2447 bytes
142.250.193.46:443 -> 10.7.11.235:54741 : 9480 bytes
10.7.11.235:54742 -> 104.18.32.47:443 : 5292 bytes
104.18.32.47:443 -> 10.7.11.235:54742 : 16989 bytes
10.7.11.235:54743 -> 180.149.59.137:443 : 6078 bytes
180.149.59.137:443 -> 10.7.11.235:54743 : 139046 bytes
10.7.11.235:54700 -> 18.207.11.57:443 : 54 bytes
10.7.11.235:54702 -> 18.210.65.109:443 : 54 bytes
10.7.11.235:54744 -> 142.251.42.99:443 : 2334 bytes
142.251.42.99:443 -> 10.7.11.235:54744 : 6883 bytes
10.7.11.235:54745 -> 10.240.8.31:8009 : 3201 bytes
10.240.8.31:8009 -> 10.7.11.235:54745 : 4884 bytes
10.7.11.235:54746 -> 104.18.32.47:443 : 13680 bytes
104.18.32.47:443 -> 10.7.11.235:54746 : 9454 bytes
10.7.11.235:54747 -> 172.64.155.209:443 : 2633 bytes
10.7.11.235:54748 -> 172.64.155.209:443 : 3990 bytes
172.64.155.209:443 -> 10.7.11.235:54748 : 6104 bytes
172.64.155.209:443 -> 10.7.11.235:54747 : 2257 bytes
10.7.11.235:54749 -> 10.240.8.31:8009 : 3127 bytes
10.240.8.31:8009 -> 10.7.11.235:54749 : 4764 bytes
10.7.11.235:54889 -> 49.44.120.88:443 : 15849 bytes
49.44.120.88:443 -> 10.7.11.235:54889 : 632272 bytes
10.7.11.235:54891 -> 10.240.8.31:8009 : 783 bytes
10.240.8.31:8009 -> 10.7.11.235:54891 : 633 bytes
10.7.11.235:54824 -> 57.144.176.145:443 : 38954 bytes
57.144.176.145:443 -> 10.7.11.235:54824 : 34627 bytes
10.7.11.235:54839 -> 157.240.15.1:443 : 4566 bytes
157.240.15.1:443 -> 10.7.11.235:54839 : 4544 bytes
10.7.11.235:54892 -> 10.240.8.31:8009 : 3394 bytes
10.240.8.31:8009 -> 10.7.11.235:54892 : 5115 bytes
157.240.15.1:443 -> 10.7.11.235:54832 : 138 bytes
10.7.11.235:54835 -> 157.240.15.1:443 : 86 bytes
157.240.15.1:443 -> 10.7.11.235:54835 : 198 bytes
10.7.11.235:54893 -> 57.144.176.141:443 : 7692 bytes
57.144.176.141:443 -> 10.7.11.235:54893 : 7815 bytes
10.7.11.235:54831 -> 52.123.164.128:443 : 2015 bytes
52.123.164.128:443 -> 10.7.11.235:54831 : 1525 bytes
10.7.11.235:54894 -> 57.144.176.141:443 : 6256 bytes
57.144.176.141:443 -> 10.7.11.235:54894 : 3981 bytes
10.7.11.235:54837 -> 163.70.143.56:443 : 3129 bytes
163.70.143.56:443 -> 10.7.11.235:54837 : 3394 bytes
10.7.11.235:54895 -> 10.240.8.31:8009 : 3428 bytes
10.240.8.31:8009 -> 10.7.11.235:54895 : 5055 bytes
10.7.11.235:54846 -> 52.123.168.128:443 : 2156 bytes
52.123.168.128:443 -> 10.7.11.235:54846 : 1987 bytes
10.7.11.235:54896 -> 10.240.8.31:8009 : 3460 bytes
10.240.8.31:8009 -> 10.7.11.235:54896 : 5055 bytes
10.7.11.235:54897 -> 10.240.8.31:8009 : 3492 bytes
10.240.8.31:8009 -> 10.7.11.235:54897 : 5115 bytes
10.7.11.235:54898 -> 180.149.59.137:443 : 6619 bytes
180.149.59.137:443 -> 10.7.11.235:54898 : 155135 bytes
10.7.11.235:54899 -> 142.251.42.10:443 : 2429 bytes
142.251.42.10:443 -> 10.7.11.235:54899 : 12675 bytes
10.7.11.235:54900 -> 10.240.8.31:8009 : 3558 bytes
10.240.8.31:8009 -> 10.7.11.235:54900 : 5115 bytes
10.7.11.235:54901 -> 180.149.59.137:443 : 6424 bytes
180.149.59.137:443 -> 10.7.11.235:54901 : 133240 bytes
10.7.11.235:54902 -> 10.240.8.31:8009 : 3749 bytes
10.240.8.31:8009 -> 10.7.11.235:54902 : 5226 bytes
10.7.11.235:54903 -> 180.149.59.137:443 : 22291 bytes
180.149.59.137:443 -> 10.7.11.235:54903 : 798428 bytes
10.7.11.235:54904 -> 172.64.155.209:443 : 4907 bytes
172.64.155.209:443 -> 10.7.11.235:54904 : 3567 bytes
10.7.11.235:54905 -> 142.250.194.174:443 : 2438 bytes
142.250.194.174:443 -> 10.7.11.235:54905 : 9538 bytes
10.7.11.235:54906 -> 10.240.8.31:8009 : 3269 bytes
10.240.8.31:8009 -> 10.7.11.235:54906 : 4944 bytes
10.7.11.235:54907 -> 216.58.200.206:443 : 2420 bytes
216.58.200.206:443 -> 10.7.11.235:54907 : 9495 bytes
