
bharathchandra@Bharath:~/CN$ sudo python3 Sniff.py
Starting packet capture... (Press Ctrl+C to stop)
^C----- Metrics -----
Total data transferred: 324423865 bytes
Total packets: 328830
Minimum packet size: 54 bytes
Maximum packet size: 1514 bytes
Average packet size: 986.60 bytes
Histogram saved as 'packet_size_histogram.png'.

----- Unique Source-Destination Pairs (TCP flows) -----
10.7.11.235:55018 -> 142.250.192.69:443 : 7926 bytes
142.250.192.69:443 -> 10.7.11.235:55018 : 9483 bytes
10.7.11.235:55019 -> 10.240.8.31:8009 : 3783 bytes
10.240.8.31:8009 -> 10.7.11.235:55019 : 5286 bytes
10.7.11.235:55020 -> 57.144.177.32:443 : 1685 bytes
10.7.11.235:55021 -> 180.149.62.34:443 : 1749 bytes
10.7.11.235:55022 -> 31.13.79.53:443 : 1739 bytes
10.7.11.235:55023 -> 163.70.143.60:443 : 1685 bytes
10.7.11.235:55024 -> 157.240.16.52:443 : 2139 bytes
10.7.11.235:55025 -> 157.240.16.52:443 : 1717 bytes
10.7.11.235:55026 -> 163.70.144.60:443 : 1793 bytes
10.7.11.235:55027 -> 157.240.237.60:443 : 1685 bytes
10.7.11.235:55028 -> 57.144.125.32:443 : 1739 bytes
31.13.79.53:443 -> 10.7.11.235:55022 : 1580 bytes
163.70.143.60:443 -> 10.7.11.235:55023 : 1694 bytes
157.240.16.52:443 -> 10.7.11.235:55025 : 1634 bytes
180.149.62.34:443 -> 10.7.11.235:55021 : 1706 bytes
157.240.16.52:443 -> 10.7.11.235:55024 : 4965 bytes
157.240.237.60:443 -> 10.7.11.235:55027 : 1634 bytes
57.144.125.32:443 -> 10.7.11.235:55028 : 1634 bytes
163.70.144.60:443 -> 10.7.11.235:55026 : 1694 bytes
57.144.177.32:443 -> 10.7.11.235:55020 : 1634 bytes
10.7.11.235:55029 -> 34.233.9.203:443 : 1272 bytes
34.233.9.203:443 -> 10.7.11.235:55029 : 1368 bytes
10.7.11.235:55030 -> 52.24.36.78:443 : 10624 bytes
52.24.36.78:443 -> 10.7.11.235:55030 : 6700 bytes
10.7.11.235:55031 -> 23.54.155.206:443 : 6952 bytes
23.54.155.206:443 -> 10.7.11.235:55031 : 138989 bytes
10.7.11.235:55032 -> 18.161.111.100:443 : 3866 bytes
18.161.111.100:443 -> 10.7.11.235:55032 : 19149 bytes
10.7.11.235:55033 -> 10.240.8.31:8009 : 3558 bytes
10.7.11.235:55034 -> 23.54.155.206:443 : 7449 bytes
23.54.155.206:443 -> 10.7.11.235:55034 : 162311 bytes
10.7.11.235:55035 -> 142.250.193.78:443 : 2287 bytes
142.250.193.78:443 -> 10.7.11.235:55035 : 8971 bytes
10.240.8.31:8009 -> 10.7.11.235:55033 : 5115 bytes
10.7.11.235:55036 -> 142.251.42.10:443 : 2416 bytes
142.251.42.10:443 -> 10.7.11.235:55036 : 12607 bytes
10.7.11.235:55037 -> 142.251.42.10:443 : 2448 bytes
142.251.42.10:443 -> 10.7.11.235:55037 : 12606 bytes
10.7.11.235:55038 -> 54.237.65.249:443 : 4391 bytes
54.237.65.249:443 -> 10.7.11.235:55038 : 6903 bytes
10.7.11.235:55039 -> 10.240.8.31:8009 : 3426 bytes
10.240.8.31:8009 -> 10.7.11.235:55039 : 5115 bytes
10.7.11.235:55040 -> 23.54.155.206:443 : 7321 bytes
23.54.155.206:443 -> 10.7.11.235:55040 : 162640 bytes
10.7.11.235:55041 -> 10.240.8.31:8009 : 3428 bytes
10.240.8.31:8009 -> 10.7.11.235:55041 : 5055 bytes
10.7.11.235:55042 -> 23.54.155.206:443 : 11087 bytes
23.54.155.206:443 -> 10.7.11.235:55042 : 302814 bytes
10.7.11.235:55043 -> 10.240.8.31:8009 : 3492 bytes
10.240.8.31:8009 -> 10.7.11.235:55043 : 5055 bytes
10.7.11.235:55044 -> 142.250.4.84:443 : 2301 bytes
142.250.4.84:443 -> 10.7.11.235:55044 : 6933 bytes
10.7.11.235:55045 -> 10.240.8.31:8009 : 4201 bytes
10.240.8.31:8009 -> 10.7.11.235:55045 : 5628 bytes
10.7.11.235:55046 -> 23.54.155.206:443 : 7559 bytes
23.54.155.206:443 -> 10.7.11.235:55046 : 164087 bytes
10.7.11.235:55047 -> 142.250.76.206:443 : 2437 bytes
142.250.76.206:443 -> 10.7.11.235:55047 : 9420 bytes
10.7.11.235:55048 -> 142.250.192.35:80 : 536 bytes
142.250.192.35:80 -> 10.7.11.235:55048 : 463 bytes
10.7.11.235:55049 -> 23.207.193.67:80 : 563 bytes
23.207.193.67:80 -> 10.7.11.235:55049 : 503 bytes
10.7.11.235:55050 -> 23.54.155.206:443 : 7458 bytes
23.54.155.206:443 -> 10.7.11.235:55050 : 164184 bytes
10.7.11.235:55051 -> 10.240.8.31:8009 : 3592 bytes
10.7.11.235:55052 -> 23.54.155.206:443 : 8411 bytes
23.54.155.206:443 -> 10.7.11.235:55052 : 210507 bytes
10.7.11.235:55053 -> 34.199.100.127:443 : 16211 bytes
34.199.100.127:443 -> 10.7.11.235:55053 : 6247 bytes
10.240.8.31:8009 -> 10.7.11.235:55051 : 5115 bytes
10.7.11.235:55054 -> 35.168.254.26:443 : 18685 bytes
35.168.254.26:443 -> 10.7.11.235:55054 : 1577 bytes
10.7.11.235:55055 -> 49.44.120.91:443 : 6803 bytes
49.44.120.91:443 -> 10.7.11.235:55055 : 141749 bytes
10.7.11.235:55056 -> 10.240.8.31:8009 : 3910 bytes
10.240.8.31:8009 -> 10.7.11.235:55056 : 5397 bytes
10.7.11.235:55057 -> 49.44.120.91:443 : 6466 bytes
49.44.120.91:443 -> 10.7.11.235:55057 : 165541 bytes
10.7.11.235:55058 -> 49.44.120.91:443 : 7028 bytes
49.44.120.91:443 -> 10.7.11.235:55058 : 165422 bytes
10.7.11.235:55059 -> 10.240.8.31:8009 : 3428 bytes
10.240.8.31:8009 -> 10.7.11.235:55059 : 5055 bytes
10.7.11.235:55060 -> 10.240.8.31:8009 : 3492 bytes
10.240.8.31:8009 -> 10.7.11.235:55060 : 5055 bytes
10.7.11.235:55061 -> 49.44.120.91:443 : 7018 bytes
49.44.120.91:443 -> 10.7.11.235:55061 : 166062 bytes
10.7.11.235:55062 -> 10.240.8.31:8009 : 3492 bytes
10.240.8.31:8009 -> 10.7.11.235:55062 : 5055 bytes
10.7.11.235:55063 -> 49.44.120.91:443 : 9262 bytes
49.44.120.91:443 -> 10.7.11.235:55063 : 260353 bytes
10.7.11.235:55064 -> 52.109.120.46:443 : 1811 bytes
52.109.120.46:443 -> 10.7.11.235:55064 : 7477 bytes
10.7.11.235:55065 -> 52.109.120.46:443 : 1900 bytes
52.109.120.46:443 -> 10.7.11.235:55065 : 7582 bytes
10.7.11.235:55066 -> 10.240.8.31:8009 : 3399 bytes
10.7.11.235:55067 -> 54.81.67.106:443 : 5049 bytes
54.81.67.106:443 -> 10.7.11.235:55067 : 13635 bytes
10.7.11.235:55068 -> 142.251.42.118:443 : 2389 bytes
142.251.42.118:443 -> 10.7.11.235:55068 : 7331 bytes
10.7.11.235:55069 -> 57.144.124.141:443 : 5683 bytes
57.144.124.141:443 -> 10.7.11.235:55069 : 5917 bytes
10.7.11.235:55070 -> 57.144.124.141:443 : 4607 bytes
57.144.124.141:443 -> 10.7.11.235:55070 : 2161 bytes
10.240.8.31:8009 -> 10.7.11.235:55066 : 4944 bytes
10.7.11.235:55071 -> 18.210.65.109:443 : 10994 bytes
18.210.65.109:443 -> 10.7.11.235:55071 : 1255 bytes
10.7.11.235:55072 -> 49.44.120.91:443 : 11908 bytes
49.44.120.91:443 -> 10.7.11.235:55072 : 380884 bytes
10.7.11.235:55073 -> 10.240.8.31:8009 : 3365 bytes
10.240.8.31:8009 -> 10.7.11.235:55073 : 4944 bytes
10.7.11.235:55074 -> 10.240.8.31:8009 : 3976 bytes
10.240.8.31:8009 -> 10.7.11.235:55074 : 5457 bytes
10.7.11.235:55075 -> 3.91.111.232:443 : 1704 bytes
3.91.111.232:443 -> 10.7.11.235:55075 : 7143 bytes
10.7.11.235:55076 -> 142.250.192.202:443 : 2365 bytes
142.250.192.202:443 -> 10.7.11.235:55076 : 12677 bytes
10.7.11.235:55077 -> 57.144.177.33:80 : 5484 bytes
57.144.177.33:80 -> 10.7.11.235:55077 : 3939 bytes
10.7.11.235:55078 -> 49.44.120.88:443 : 7353 bytes
49.44.120.88:443 -> 10.7.11.235:55078 : 191582 bytes
10.7.11.235:55079 -> 157.240.16.52:443 : 1876 bytes
157.240.16.52:443 -> 10.7.11.235:55079 : 4617 bytes
10.7.11.235:55080 -> 10.240.8.31:8009 : 3458 bytes
10.240.8.31:8009 -> 10.7.11.235:55080 : 5055 bytes
10.7.11.235:55081 -> 108.159.61.21:443 : 5169 bytes
108.159.61.21:443 -> 10.7.11.235:55081 : 7555 bytes
10.7.11.235:55082 -> 10.240.8.31:8009 : 7411 bytes
10.240.8.31:8009 -> 10.7.11.235:55082 : 5982 bytes
10.7.11.235:55083 -> 49.44.120.88:443 : 7115 bytes
49.44.120.88:443 -> 10.7.11.235:55083 : 167980 bytes
10.7.11.235:55084 -> 49.44.120.88:443 : 24206 bytes
49.44.120.88:443 -> 10.7.11.235:55084 : 911176 bytes
10.7.11.235:55085 -> 54.236.225.107:443 : 11871 bytes
54.236.225.107:443 -> 10.7.11.235:55085 : 7250 bytes
10.7.11.235:55086 -> 23.23.209.48:443 : 3614 bytes
23.23.209.48:443 -> 10.7.11.235:55086 : 6783 bytes
10.7.11.235:55087 -> 10.240.8.31:8009 : 3428 bytes
10.240.8.31:8009 -> 10.7.11.235:55087 : 5055 bytes
10.7.11.235:55088 -> 34.165.122.223:443 : 3381 bytes
34.165.122.223:443 -> 10.7.11.235:55088 : 5851 bytes
10.7.11.235:55089 -> 192.178.128.94:443 : 2222 bytes
192.178.128.94:443 -> 10.7.11.235:55089 : 6867 bytes
10.7.11.235:55090 -> 10.240.8.31:8009 : 5565 bytes
10.240.8.31:8009 -> 10.7.11.235:55090 : 5694 bytes
10.7.11.235:55091 -> 34.226.43.28:443 : 2521 bytes
34.226.43.28:443 -> 10.7.11.235:55091 : 7869 bytes
10.7.11.235:55092 -> 20.42.72.131:443 : 4040 bytes
20.42.72.131:443 -> 10.7.11.235:55092 : 5543 bytes
10.7.11.235:55093 -> 10.240.8.31:8009 : 198 bytes
10.7.11.235:55094 -> 142.250.206.101:443 : 15270 bytes
142.250.206.101:443 -> 10.7.11.235:55094 : 8640 bytes
10.7.11.235:54250 -> 10.240.8.31:8009 : 558 bytes
10.240.8.31:8009 -> 10.7.11.235:54250 : 462 bytes
10.7.11.235:54219 -> 138.199.46.68:443 : 108 bytes
138.199.46.68:443 -> 10.7.11.235:54219 : 60 bytes
10.7.11.235:54251 -> 4.213.170.54:443 : 12373 bytes
4.213.170.54:443 -> 10.7.11.235:54251 : 305200 bytes
10.7.11.235:54244 -> 142.250.192.101:443 : 8919 bytes
142.250.192.101:443 -> 10.7.11.235:54244 : 2256 bytes
10.7.11.235:54252 -> 52.70.169.47:443 : 2275 bytes
52.70.169.47:443 -> 10.7.11.235:54252 : 6154 bytes
10.7.11.235:54253 -> 44.207.246.192:443 : 2081 bytes
44.207.246.192:443 -> 10.7.11.235:54253 : 985 bytes
10.7.11.235:54254 -> 52.21.246.40:443 : 2128 bytes
52.21.246.40:443 -> 10.7.11.235:54254 : 7015 bytes
10.7.11.235:54255 -> 10.240.8.31:8009 : 3333 bytes
10.7.11.235:53837 -> 18.215.56.150:443 : 380 bytes
18.215.56.150:443 -> 10.7.11.235:53837 : 481 bytes
10.240.8.31:8009 -> 10.7.11.235:54255 : 4944 bytes
10.7.11.235:54256 -> 142.250.192.101:443 : 7499 bytes
10.7.11.235:54257 -> 142.250.194.35:443 : 7780 bytes
142.250.192.101:443 -> 10.7.11.235:54256 : 9980 bytes
10.7.11.235:54258 -> 142.250.194.35:443 : 5134 bytes
142.250.194.35:443 -> 10.7.11.235:54257 : 4675 bytes
142.250.194.35:443 -> 10.7.11.235:54258 : 8085 bytes
10.7.11.235:54259 -> 10.240.8.31:8009 : 3365 bytes
10.7.11.235:54260 -> 142.250.192.14:443 : 2442 bytes
142.250.192.14:443 -> 10.7.11.235:54260 : 9403 bytes
10.7.11.235:54261 -> 199.232.22.133:443 : 3398 bytes
199.232.22.133:443 -> 10.7.11.235:54261 : 6541 bytes
10.7.11.235:54262 -> 180.149.59.224:443 : 18727 bytes
180.149.59.224:443 -> 10.7.11.235:54262 : 931054 bytes
10.7.11.235:54263 -> 13.203.1.146:443 : 4089 bytes
13.203.1.146:443 -> 10.7.11.235:54263 : 7932 bytes
10.7.11.235:54264 -> 20.31.161.73:443 : 5725 bytes
20.31.161.73:443 -> 10.7.11.235:54264 : 6419 bytes
10.7.11.235:54265 -> 151.101.193.40:443 : 3750 bytes
151.101.193.40:443 -> 10.7.11.235:54265 : 5618 bytes
10.7.11.235:54266 -> 184.86.250.103:443 : 6436 bytes
184.86.250.103:443 -> 10.7.11.235:54266 : 112228 bytes
10.240.8.31:8009 -> 10.7.11.235:54259 : 4944 bytes
10.7.11.235:54267 -> 180.149.59.224:443 : 3360 bytes
180.149.59.224:443 -> 10.7.11.235:54267 : 2396 bytes
10.7.11.235:54113 -> 44.195.109.31:443 : 165 bytes
44.195.109.31:443 -> 10.7.11.235:54113 : 180 bytes
10.7.11.235:54246 -> 142.250.67.202:443 : 108 bytes
142.250.67.202:443 -> 10.7.11.235:54246 : 60 bytes
10.7.11.235:54268 -> 23.54.155.211:443 : 75990 bytes
23.54.155.211:443 -> 10.7.11.235:54268 : 5788535 bytes
10.7.11.235:54269 -> 180.149.59.224:443 : 3582 bytes
180.149.59.224:443 -> 10.7.11.235:54269 : 3649 bytes
10.7.11.235:54270 -> 20.31.161.73:443 : 8789 bytes
20.31.161.73:443 -> 10.7.11.235:54270 : 17231 bytes
10.7.11.235:54271 -> 44.207.246.192:443 : 6434 bytes
44.207.246.192:443 -> 10.7.11.235:54271 : 6836 bytes
10.7.11.235:54272 -> 185.199.111.153:443 : 2338 bytes
10.7.11.235:54273 -> 185.199.111.153:443 : 2306 bytes
185.199.111.153:443 -> 10.7.11.235:54273 : 4326 bytes
185.199.111.153:443 -> 10.7.11.235:54272 : 4326 bytes
10.7.11.235:54274 -> 142.250.193.206:443 : 5273 bytes
142.250.193.206:443 -> 10.7.11.235:54274 : 9567 bytes
10.7.11.235:54275 -> 10.240.8.31:8009 : 3362 bytes
10.240.8.31:8009 -> 10.7.11.235:54275 : 5055 bytes
10.7.11.235:54276 -> 142.250.194.234:443 : 2334 bytes
142.250.194.234:443 -> 10.7.11.235:54276 : 7351 bytes
10.7.11.235:54277 -> 142.250.192.130:443 : 4817 bytes
142.250.192.130:443 -> 10.7.11.235:54277 : 8466 bytes
10.7.11.235:54278 -> 142.250.192.130:443 : 2096 bytes
142.250.192.130:443 -> 10.7.11.235:54278 : 246 bytes
10.7.11.235:54279 -> 142.250.194.35:443 : 3898 bytes
142.250.194.35:443 -> 10.7.11.235:54279 : 3990 bytes
10.7.11.235:54280 -> 104.18.32.47:443 : 15582 bytes
104.18.32.47:443 -> 10.7.11.235:54280 : 9552 bytes
10.7.11.235:54281 -> 13.107.246.68:443 : 3895 bytes
13.107.246.68:443 -> 10.7.11.235:54281 : 7702 bytes
10.7.11.235:54282 -> 20.114.190.119:443 : 53411 bytes
20.114.190.119:443 -> 10.7.11.235:54282 : 8100 bytes
10.7.11.235:54283 -> 10.240.8.31:8009 : 4008 bytes
10.7.11.235:54218 -> 54.159.218.112:443 : 2412 bytes
54.159.218.112:443 -> 10.7.11.235:54218 : 1672 bytes
10.7.11.235:54284 -> 23.54.155.211:443 : 116883 bytes
23.54.155.211:443 -> 10.7.11.235:54284 : 8434580 bytes
10.240.8.31:8009 -> 10.7.11.235:54283 : 5457 bytes
10.7.11.235:54285 -> 104.18.32.47:443 : 9507 bytes
104.18.32.47:443 -> 10.7.11.235:54285 : 3407 bytes
10.7.11.235:54286 -> 104.18.32.47:443 : 28879 bytes
104.18.32.47:443 -> 10.7.11.235:54286 : 4954 bytes
10.7.11.235:54287 -> 142.250.192.101:443 : 8445 bytes
142.250.192.101:443 -> 10.7.11.235:54287 : 5406 bytes
10.7.11.235:54288 -> 142.250.206.133:443 : 3870 bytes
142.250.206.133:443 -> 10.7.11.235:54288 : 9257 bytes
10.7.11.235:54289 -> 142.250.194.35:443 : 4099 bytes
142.250.194.35:443 -> 10.7.11.235:54289 : 8025 bytes
10.7.11.235:54290 -> 54.197.116.140:443 : 6178 bytes
54.197.116.140:443 -> 10.7.11.235:54290 : 4640 bytes
10.7.11.235:54291 -> 18.210.9.173:443 : 7138 bytes
18.210.9.173:443 -> 10.7.11.235:54291 : 9949 bytes
10.7.11.235:54292 -> 3.231.129.114:443 : 25038 bytes
3.231.129.114:443 -> 10.7.11.235:54292 : 8892 bytes
10.7.11.235:54293 -> 44.207.246.192:443 : 27793 bytes
44.207.246.192:443 -> 10.7.11.235:54293 : 7434 bytes
10.7.11.235:54294 -> 54.225.107.16:443 : 7244 bytes
54.225.107.16:443 -> 10.7.11.235:54294 : 11941 bytes
10.7.11.235:54295 -> 44.207.246.192:443 : 2232 bytes
44.207.246.192:443 -> 10.7.11.235:54295 : 306 bytes
10.7.11.235:54296 -> 54.225.107.16:443 : 7237 bytes
54.225.107.16:443 -> 10.7.11.235:54296 : 7602 bytes
10.7.11.235:54297 -> 34.225.70.191:443 : 5236 bytes
34.225.70.191:443 -> 10.7.11.235:54297 : 8332 bytes
10.7.11.235:54298 -> 54.225.107.16:443 : 7183 bytes
54.225.107.16:443 -> 10.7.11.235:54298 : 7387 bytes
10.7.11.235:54299 -> 13.89.179.9:443 : 2081 bytes
13.89.179.9:443 -> 10.7.11.235:54299 : 7577 bytes
10.7.11.235:54300 -> 52.22.128.112:443 : 3452 bytes
52.22.128.112:443 -> 10.7.11.235:54300 : 7046 bytes
10.7.11.235:54301 -> 54.225.107.16:443 : 7054 bytes
54.225.107.16:443 -> 10.7.11.235:54301 : 6763 bytes
10.7.11.235:54302 -> 54.225.107.16:443 : 7097 bytes
54.225.107.16:443 -> 10.7.11.235:54302 : 6689 bytes
10.7.11.235:54305 -> 40.126.17.132:443 : 1218 bytes
10.7.11.235:54303 -> 40.126.17.132:443 : 1218 bytes
10.7.11.235:54304 -> 40.126.17.132:443 : 12105 bytes
40.126.17.132:443 -> 10.7.11.235:54304 : 9956 bytes
40.126.17.132:443 -> 10.7.11.235:54305 : 5147 bytes
40.126.17.132:443 -> 10.7.11.235:54303 : 5147 bytes
10.7.11.235:54306 -> 23.10.239.251:80 : 518 bytes
23.10.239.251:80 -> 10.7.11.235:54306 : 1052 bytes
10.7.11.235:54307 -> 10.240.8.31:8009 : 3524 bytes
10.240.8.31:8009 -> 10.7.11.235:54307 : 5115 bytes
10.7.11.235:54308 -> 142.250.192.238:443 : 2438 bytes
142.250.192.238:443 -> 10.7.11.235:54308 : 9483 bytes
10.7.11.235:54309 -> 199.232.21.91:443 : 2351 bytes
199.232.21.91:443 -> 10.7.11.235:54309 : 5647 bytes
10.7.11.235:54310 -> 23.54.155.211:443 : 42279 bytes
23.54.155.211:443 -> 10.7.11.235:54310 : 3138028 bytes
10.7.11.235:54311 -> 142.250.194.174:443 : 2545 bytes
142.250.194.174:443 -> 10.7.11.235:54311 : 9540 bytes
10.7.11.235:54312 -> 54.192.142.25:443 : 5404 bytes
54.192.142.25:443 -> 10.7.11.235:54312 : 1579 bytes
10.7.11.235:54313 -> 142.251.42.10:443 : 2625 bytes
142.251.42.10:443 -> 10.7.11.235:54313 : 12682 bytes
10.7.11.235:54314 -> 40.126.17.135:443 : 6061 bytes
40.126.17.135:443 -> 10.7.11.235:54314 : 23068 bytes
10.7.11.235:54315 -> 10.240.8.31:8009 : 3492 bytes
10.7.11.235:54316 -> 44.213.83.201:443 : 7894 bytes
44.213.83.201:443 -> 10.7.11.235:54316 : 8626 bytes
10.7.11.235:54317 -> 44.213.83.201:443 : 66 bytes
10.7.11.235:54318 -> 44.213.83.201:443 : 66 bytes
44.213.83.201:443 -> 10.7.11.235:54317 : 330 bytes
44.213.83.201:443 -> 10.7.11.235:54318 : 330 bytes
10.240.8.31:8009 -> 10.7.11.235:54315 : 5055 bytes
10.7.11.235:54319 -> 20.42.72.131:443 : 5848 bytes
20.42.72.131:443 -> 10.7.11.235:54319 : 7997 bytes
10.7.11.235:54320 -> 20.50.73.11:443 : 11498 bytes
20.50.73.11:443 -> 10.7.11.235:54320 : 8115 bytes
10.7.11.235:54321 -> 142.250.194.35:443 : 2356 bytes
142.250.194.35:443 -> 10.7.11.235:54321 : 6942 bytes
10.7.11.235:54322 -> 142.250.67.202:443 : 2416 bytes
142.250.67.202:443 -> 10.7.11.235:54322 : 12608 bytes
10.7.11.235:54323 -> 34.234.46.213:443 : 31755 bytes
34.234.46.213:443 -> 10.7.11.235:54323 : 7562 bytes
10.7.11.235:54324 -> 142.250.67.202:443 : 2458 bytes
142.250.67.202:443 -> 10.7.11.235:54324 : 12606 bytes
10.7.11.235:54325 -> 172.64.146.215:443 : 2320 bytes
172.64.146.215:443 -> 10.7.11.235:54325 : 5265 bytes
10.7.11.235:54326 -> 142.251.42.35:443 : 2443 bytes
142.251.42.35:443 -> 10.7.11.235:54326 : 14277 bytes
10.7.11.235:54327 -> 52.70.169.47:443 : 6277 bytes
52.70.169.47:443 -> 10.7.11.235:54327 : 4812 bytes
10.7.11.235:54328 -> 54.145.67.253:443 : 3285 bytes
54.145.67.253:443 -> 10.7.11.235:54328 : 6196 bytes
10.7.11.235:54329 -> 44.207.246.192:443 : 10984 bytes
44.207.246.192:443 -> 10.7.11.235:54329 : 2712 bytes
10.7.11.235:54330 -> 52.21.246.40:443 : 10776 bytes
52.21.246.40:443 -> 10.7.11.235:54330 : 4147 bytes
10.7.11.235:54331 -> 10.240.8.31:8009 : 3333 bytes
10.7.11.235:54332 -> 142.250.206.129:443 : 2425 bytes
142.250.206.129:443 -> 10.7.11.235:54332 : 12228 bytes
10.7.11.235:54333 -> 142.250.207.234:443 : 2450 bytes
142.250.207.234:443 -> 10.7.11.235:54333 : 7343 bytes
10.7.11.235:54334 -> 142.250.77.78:443 : 2468 bytes
142.250.77.78:443 -> 10.7.11.235:54334 : 9416 bytes
10.7.11.235:54335 -> 142.250.76.170:443 : 3942 bytes
142.250.76.170:443 -> 10.7.11.235:54335 : 12673 bytes
10.7.11.235:54336 -> 142.250.206.129:443 : 2447 bytes
142.250.206.129:443 -> 10.7.11.235:54336 : 12230 bytes
10.7.11.235:54337 -> 23.54.155.211:443 : 105437 bytes
23.54.155.211:443 -> 10.7.11.235:54337 : 7522566 bytes
10.7.11.235:54338 -> 44.213.83.201:443 : 8964 bytes
44.213.83.201:443 -> 10.7.11.235:54338 : 9107 bytes
10.7.11.235:54339 -> 18.172.64.111:443 : 3883 bytes
18.172.64.111:443 -> 10.7.11.235:54339 : 12704 bytes
10.240.8.31:8009 -> 10.7.11.235:54331 : 4944 bytes
10.7.11.235:54340 -> 142.250.76.170:443 : 2310 bytes
142.250.76.170:443 -> 10.7.11.235:54340 : 12614 bytes
10.7.11.235:54341 -> 142.250.67.202:443 : 2362 bytes
142.250.67.202:443 -> 10.7.11.235:54341 : 12668 bytes
10.7.11.235:54342 -> 142.250.182.206:443 : 2491 bytes
142.250.182.206:443 -> 10.7.11.235:54342 : 8972 bytes
10.7.11.235:54343 -> 142.250.76.174:443 : 2414 bytes
142.250.76.174:443 -> 10.7.11.235:54343 : 9417 bytes
10.7.11.235:54344 -> 142.250.182.227:443 : 2415 bytes
142.250.182.227:443 -> 10.7.11.235:54344 : 6921 bytes
10.7.11.235:54345 -> 142.250.183.42:443 : 2370 bytes
142.250.183.42:443 -> 10.7.11.235:54345 : 12691 bytes
10.7.11.235:54346 -> 142.250.193.74:443 : 2492 bytes
142.250.193.74:443 -> 10.7.11.235:54346 : 12733 bytes
10.7.11.235:54347 -> 142.250.70.42:443 : 2428 bytes
142.250.70.42:443 -> 10.7.11.235:54347 : 12644 bytes
10.7.11.235:54348 -> 10.240.8.31:8009 : 3460 bytes
10.7.11.235:54349 -> 142.250.194.35:443 : 7248 bytes
142.250.194.35:443 -> 10.7.11.235:54349 : 9459 bytes
10.7.11.235:54350 -> 216.58.203.10:443 : 2571 bytes
216.58.203.10:443 -> 10.7.11.235:54350 : 12622 bytes
10.7.11.235:54351 -> 142.250.183.46:443 : 2387 bytes
142.250.183.46:443 -> 10.7.11.235:54351 : 9432 bytes
10.240.8.31:8009 -> 10.7.11.235:54348 : 5115 bytes
10.7.11.235:54352 -> 142.250.192.74:443 : 2429 bytes
142.250.192.74:443 -> 10.7.11.235:54352 : 12617 bytes
10.7.11.235:54353 -> 74.125.200.84:443 : 2387 bytes
74.125.200.84:443 -> 10.7.11.235:54353 : 6933 bytes
10.7.11.235:54354 -> 142.250.194.142:443 : 2378 bytes
142.250.194.142:443 -> 10.7.11.235:54354 : 9465 bytes
10.7.11.235:54355 -> 34.18.10.222:443 : 5055 bytes
34.18.10.222:443 -> 10.7.11.235:54355 : 5911 bytes
10.7.11.235:54356 -> 142.250.192.101:443 : 8011 bytes
142.250.192.101:443 -> 10.7.11.235:54356 : 9458 bytes
10.7.11.235:54357 -> 10.240.8.31:8009 : 3558 bytes
10.7.11.235:54358 -> 142.250.192.78:443 : 2437 bytes
142.250.192.78:443 -> 10.7.11.235:54358 : 9418 bytes
10.7.11.235:54359 -> 142.250.193.206:443 : 2456 bytes
142.250.193.206:443 -> 10.7.11.235:54359 : 7582 bytes
10.240.8.31:8009 -> 10.7.11.235:54357 : 5115 bytes
10.7.11.235:54360 -> 142.250.182.227:443 : 2383 bytes
142.250.182.227:443 -> 10.7.11.235:54360 : 6920 bytes
10.7.11.235:54361 -> 10.240.8.31:8009 : 3333 bytes
10.240.8.31:8009 -> 10.7.11.235:54361 : 4944 bytes
10.7.11.235:54362 -> 52.123.128.14:443 : 6533 bytes
52.123.128.14:443 -> 10.7.11.235:54362 : 8093 bytes
10.7.11.235:54363 -> 54.145.67.253:443 : 3124 bytes
54.145.67.253:443 -> 10.7.11.235:54363 : 1639 bytes
10.7.11.235:54364 -> 10.240.8.31:8009 : 3394 bytes
10.240.8.31:8009 -> 10.7.11.235:54364 : 5115 bytes
10.7.11.235:54365 -> 20.114.190.119:443 : 3507 bytes
20.114.190.119:443 -> 10.7.11.235:54365 : 6648 bytes
10.7.11.235:54366 -> 142.250.182.206:443 : 2373 bytes
142.250.182.206:443 -> 10.7.11.235:54366 : 8910 bytes
10.7.11.235:54367 -> 142.250.206.118:443 : 2667 bytes
142.250.206.118:443 -> 10.7.11.235:54367 : 7451 bytes
10.7.11.235:54368 -> 142.250.194.163:443 : 2383 bytes
142.250.194.163:443 -> 10.7.11.235:54368 : 6921 bytes
10.7.11.235:54369 -> 142.250.192.46:443 : 2361 bytes
142.250.192.46:443 -> 10.7.11.235:54369 : 9479 bytes
10.7.11.235:54370 -> 172.217.132.72:443 : 2315 bytes
10.7.11.235:54371 -> 172.217.132.72:443 : 2315 bytes
172.217.132.72:443 -> 10.7.11.235:54370 : 5148 bytes
172.217.132.72:443 -> 10.7.11.235:54371 : 5148 bytes
10.7.11.235:54372 -> 10.240.8.31:8009 : 3524 bytes
10.240.8.31:8009 -> 10.7.11.235:54372 : 5055 bytes
10.7.11.235:54373 -> 172.217.174.65:443 : 2457 bytes
172.217.174.65:443 -> 10.7.11.235:54373 : 12134 bytes
10.7.11.235:54374 -> 142.250.76.174:443 : 2410 bytes
142.250.76.174:443 -> 10.7.11.235:54374 : 9434 bytes
10.7.11.235:54375 -> 172.65.10.226:443 : 2826 bytes
172.65.10.226:443 -> 10.7.11.235:54375 : 7445 bytes
